"p.geomean"	"stat.mean"	"p.val"	"q.val"	"set.size"	"Primary_0125"	"Primary_0184"	"Primary_0190"	"Primary_0210"	"Primary_0211"
"HALLMARK_IL2_STAT5_SIGNALING"	0.000137853479937539	3.48572504563262	6.6981332470502e-15	2.38433660359894e-14	196	0.00374790220045338	0.00010112349848702	1.10623762235143e-07	8.95933968996149e-05	0.028404073828744
"HALLMARK_APOPTOSIS"	0.000128590249990279	3.49731882927551	7.15300981079681e-15	2.38433660359894e-14	160	0.00941829072774191	0.000102910317553383	1.52798422252325e-07	6.45784475146212e-05	0.0140868043948172
"HALLMARK_GLYCOLYSIS"	0.000214307122659119	3.45260551491669	1.05666828557588e-14	3.30208839242461e-14	199	0.00128834886059245	0.000413195998656856	4.94974711526358e-06	1.0323076722386e-05	0.0198748804817405
"HALLMARK_DNA_REPAIR"	0.000413979083936115	3.31853130434825	1.12674847138388e-13	3.31396609230552e-13	147	0.000101043603216862	0.000526116762476364	0.00174115476027007	0.00888851846197743	1.95874566780551e-05
"HALLMARK_MTORC1_SIGNALING"	0.000460964334417861	3.26785731207621	2.1597663531403e-13	5.99935098094527e-13	198	0.00635315188106752	0.0011321735965682	3.66172129177346e-05	9.10491534324717e-05	0.00160219278228402
"HALLMARK_COMPLEMENT"	0.000438543432164964	3.14786383052366	1.76557621141922e-12	4.64625318794532e-12	192	0.048828688860799	0.000111945001510547	2.47784262064961e-06	0.00012132868193375	0.0245291557279368
"HALLMARK_P53_PATHWAY"	0.00162829105216591	2.67152821227788	1.6515079696665e-09	4.12876992416625e-09	196	0.0615704144293542	0.000372827636563359	1.69695560819155e-06	0.00334810343950835	0.169246329278429
"HALLMARK_MYC_TARGETS_V2"	0.0050872904400963	2.53122784428357	1.46331092468371e-08	3.48407363019931e-08	58	0.000551979365303097	0.0406325924472936	0.0164515652619775	0.0317739988837549	0.000329455344678828
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE"	0.010559435426628	2.2466947144304	3.13550370445545e-07	7.12614478285329e-07	112	0.0109516733573796	0.0988465738026927	0.00389265438443432	0.00728096412066779	0.00700356421852733
"HALLMARK_KRAS_SIGNALING_UP"	0.00735652130236123	2.10223614243541	1.6192862962343e-06	3.52018760050934e-06	194	0.19998357457762	0.0113445701541483	5.33662066622797e-05	0.00249907293607702	0.271973257333795
"HALLMARK_TGF_BETA_SIGNALING"	0.0246263814136405	1.89484783489077	1.49430996802702e-05	3.11314576672296e-05	54	0.0260107846960011	0.0359750942859584	0.00504993829325649	0.066459247172441	0.064681548132076
"HALLMARK_NOTCH_SIGNALING"	0.0504744404291012	1.62551231775502	0.000178862704207938	0.000357725408415875	32	0.0187486518202401	0.171315890714087	0.0569439808257888	0.0833615877793511	0.0233787383237595
"HALLMARK_CHOLESTEROL_HOMEOSTASIS"	0.0790126596025876	1.37263535276828	0.00115082493303836	0.00221312487122762	74	0.0701897760154506	0.0993767267268588	0.0460721005741219	0.124716676696456	0.111095592745241
"HALLMARK_XENOBIOTIC_METABOLISM"	0.0622205171093154	1.36278936510935	0.00119639882716592	0.0022155533836406	197	0.380347942989523	0.00678689657451083	0.0126650824681179	0.0963563334962719	0.316270348119563
"HALLMARK_WNT_BETA_CATENIN_SIGNALING"	0.121958481713785	1.11266990161677	0.0068602038989954	0.0122503641053489	42	0.0507618243513458	0.219739818820141	0.170587328796327	0.278735099933428	0.0591724349673689
"HALLMARK_ADIPOGENESIS"	0.119121971485338	1.0646343172607	0.00877921053578759	0.0147273519531898	196	0.359539703449021	0.0110691072046118	0.134133809181794	0.187099341372964	0.252436642278256
"HALLMARK_MITOTIC_SPINDLE"	0.0485407330230297	1.06856631920292	0.0088364111719139	0.0147273519531898	196	0.000449503795624559	0.930863811052679	0.171469925345266	0.411478527652833	0.0108771441309915
"HALLMARK_PI3K_AKT_MTOR_SIGNALING"	0.259872975718543	0.52997375700261	0.11882174192796	0.191647970851549	104	0.302544693716849	0.428938984349997	0.313017218407221	0.235306956674905	0.230987495486716
"HALLMARK_ANDROGEN_RESPONSE"	0.250876315997879	0.490976079253006	0.137120952338166	0.214251488028384	98	0.344744689245599	0.373411065750525	0.0809478617167361	0.298340647138317	0.581404434274413
"HALLMARK_APICAL_JUNCTION"	0.241717874766111	0.442764230622272	0.161824878250415	0.239706046346568	197	0.162866290429013	0.723282395329996	0.0474952479560233	0.489180608676175	0.452211003204107
"HALLMARK_ESTROGEN_RESPONSE_LATE"	0.201086096287449	0.441450381860492	0.163000111515667	0.239706046346568	200	0.472979549297571	0.349085949521966	0.0150600250200903	0.382585465029742	0.766235684805642
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY"	0.294488614421873	0.349202459363423	0.219275412062755	0.313250588661078	47	0.741065875706125	0.0910780286180785	0.17769843726744	0.309492106099129	0.646846134756831
"HALLMARK_PROTEIN_SECRETION"	0.354562032048858	0.300159746220604	0.251560300176258	0.349389305800359	94	0.285274394795877	0.620031445764258	0.427609201648819	0.224102263777997	0.3841162169171
"HALLMARK_APICAL_SURFACE"	0.386557297770019	0.226386420493649	0.307442536245601	0.415462886818379	43	0.452837374910554	0.374527434485673	0.190584004258895	0.501125063006533	0.573900640093904
"HALLMARK_UV_RESPONSE_DN"	0.220480322490769	0.0783869492854773	0.43260544960121	0.569217696843697	143	0.26522228849446	0.876078547000589	0.0890576813473297	0.319761524564902	0.817825267631662
"HALLMARK_UV_RESPONSE_UP"	0.383200740906845	0.0333368237118756	0.470366019760099	0.603033358666794	156	0.72845773456963	0.385176935300059	0.138376287111747	0.65248477776976	0.584379955301506
"HALLMARK_FATTY_ACID_METABOLISM"	0.503106298478571	-0.158411879656156	0.638318464728583	0.787355320901137	154	0.62210920457915	0.186177083293167	0.652908621850895	0.67571791242484	0.699721712459081
"HALLMARK_PEROXISOME"	0.539131271862596	-0.167351094966808	0.645631363138933	0.787355320901137	104	0.633475286741983	0.328602788195178	0.510288680068581	0.738894937340536	0.607287558954198
"HALLMARK_BILE_ACID_METABOLISM"	0.542564528033142	-0.29190939247649	0.742420125300369	0.883833482500439	111	0.70149463964017	0.267901842423388	0.573356700928055	0.747949244290648	0.755775558735013
"HALLMARK_MYOGENESIS"	0.510658556106115	-0.470242433099952	0.852733049202192	0.991550057211852	196	0.712826108704181	0.466461044154528	0.196790487265492	0.831587629278115	0.960719720021519
"HALLMARK_OXIDATIVE_PHOSPHORYLATION"	0.305469790325436	-0.580991172814408	0.902407755792822	0.999999999999645	196	0.97498737054407	0.0141453703872349	0.971849390597056	0.937955828972588	0.375825496949823
"HALLMARK_HEDGEHOG_SIGNALING"	0.757921083828172	-0.994985585709944	0.985931209375651	0.999999999999645	36	0.679853643224568	0.944526070094055	0.789961021585947	0.83949274855535	0.852929918686397
"HALLMARK_ESTROGEN_RESPONSE_EARLY"	0.605162037770841	-1.09876505158718	0.992782117886726	0.999999999999645	199	0.896479323848871	0.936651286651179	0.234462922552498	0.8871387689667	0.985872278563331
"HALLMARK_PANCREAS_BETA_CELLS"	0.824510126361162	-1.15338965269511	0.994514514505527	0.999999999999645	39	0.92051086209426	0.853987355263383	0.84716839510824	0.95808769541324	0.681618307801267
"HALLMARK_SPERMATOGENESIS"	0.825549819252956	-1.19794707976933	0.996198187299363	0.999999999999645	135	0.804283841300301	0.972063123672515	0.842343979460275	0.94913256368909	0.711848083834805
"HALLMARK_HEME_METABOLISM"	0.90328066131187	-1.46255856725991	0.999447352525462	0.999999999999645	195	0.980822122918271	0.883036288678544	0.872572470651462	0.825957523008102	0.974787644842283
"HALLMARK_KRAS_SIGNALING_DN"	0.990329539059636	-3.23950859955404	0.999999999999645	0.999999999999645	195	0.996792452316344	0.998399408420474	0.998304263627108	0.999927250268395	0.999867537583212
